Transaction Date,Description,Amount
2026-06-02,WHOLE FOODS MKT #1043 AUSTIN TX,84.21
2026-06-03,STARBUCKS STORE 291 AUSTIN TX,6.75
2026-06-03,UBER TRIP HELP.UBER.COM CA,18.40
2026-06-05,NETFLIX.COM 866-579-7172 CA,15.49
2026-06-06,AMZN MKTP US*2X4YT9 AMZN.COM/BILL WA,52.10
2026-06-07,TST* FRANKLIN BBQ AUSTIN TX,63.00
2026-06-09,SHELL OIL 5744 AUSTIN TX,44.90
2026-06-10,WHOLE FOODS MKT #1043 AUSTIN TX,112.66
2026-06-11,SPOTIFY USA NEW YORK NY,11.99
2026-06-12,AMZN MKTP US*9K1P REFUND AMZN.COM/BILL WA,-52.10
2026-06-14,CHIPOTLE 1180 AUSTIN TX,13.85
2026-06-15,DELTA AIR LINES ATLANTA GA,341.20
2026-06-16,STARBUCKS STORE 291 AUSTIN TX,5.95
2026-06-18,PG&E ELECTRIC PAYMENT CA,96.34
2026-06-20,AMAZON PRIME*PY22 AMZN.COM/BILL WA,14.99
2026-06-22,UBER EATS HELP.UBER.COM CA,28.75
2026-06-24,TARGET 00012345 AUSTIN TX,71.42
2026-06-25,PAYMENT THANK YOU - WEB,-500.00
2026-06-27,ANTHROPIC CLAUDE SUBSCRIPTION,20.00
2026-06-28,SHELL OIL 5744 AUSTIN TX,41.10
2026-06-29,CVS/PHARMACY #4821 AUSTIN TX,23.60
